atom,1s+,1s-,2s+,2s-,2p+,2p-,3s+,3s-,3p+,3p-,3d+,3d-,4s+,4s-,4p+,4p-,4d+,4d-,5s+,5s-,5p+,5p-
H,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,1,-1,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,1,-1,1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,1,-1,1,-1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,1,-1,1,-1,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Si,1,-1,1,-1,3,-3,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
P,1,-1,1,-1,3,-3,1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
S,1,-1,1,-1,3,-3,1,-1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0
Cl,1,-1,1,-1,3,-3,1,-1,3,-2,0,0,0,0,0,0,0,0,0,0,0,0
Br,1,-1,1,-1,3,-3,1,-1,3,-3,5,-5,1,-1,3,-2,0,0,0,0,0,0
I,1,-1,1,-1,3,-3,1,-1,3,-3,5,-5,1,-1,3,-3,5,-5,1,-1,3,-2
