atom,core+,core-,2pz+,2px+,2py+,2pz-,2px-,2py-,3pz+,3px+,3py+,3pz-,3px-,3py-,sparse+,sparse-
H,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,2,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
N,2,-2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
O,2,-2,1,1,1,-1,0,0,0,0,0,0,0,0,0,0
F,2,-2,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0
Si,3,-3,1,1,1,-1,-1,-1,1,1,0,0,0,0,0,0
P,3,-3,1,1,1,-1,-1,-1,1,1,1,0,0,0,0,0
S,3,-3,1,1,1,-1,-1,-1,1,1,1,-1,0,0,0,0
Cl,3,-3,1,1,1,-1,-1,-1,1,1,1,-1,-1,0,0,0
Br,3,-3,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,9,-8
I,3,-3,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,18,-17
